Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Doymuş Buhar,h sıvı (çıktı),ET,1.000000,0.999981,0.000000,0.004366,0.000000,0.006665,1.000000,0.999680,0.000000,0.018150,0.000000,0.019444,1.000000,0.999981,0.000000,0.004377,0.000000,0.005608,1.000000,0.999660,0.000000,0.018709,0.000000,0.027888,0.999981,Base
Doymuş Buhar,h sıvı (çıktı),GBDT,0.999999,0.999277,0.000968,0.027255,0.004221,0.096711,1.000000,0.998046,0.000602,0.044825,0.000411,0.188872,0.999999,0.999475,0.000896,0.023229,0.002320,0.081457,1.000000,0.998179,0.000519,0.043266,0.000391,0.183967,0.999475,STGP-EF
Doymuş Buhar,h sıvı (çıktı),GP,0.994739,0.995536,0.072532,0.067745,0.223010,0.255521,0.992088,0.995536,0.091236,0.067745,0.076234,0.255521,0.994739,0.995536,0.072532,0.067745,0.223010,0.255521,0.992088,0.995536,0.091236,0.067745,0.076234,0.255521,0.995536,Base
Doymuş Buhar,h sıvı (çıktı),KNN,0.999425,0.999663,0.023990,0.018603,0.035233,0.056850,0.998453,0.996866,0.040342,0.056764,0.052935,0.144973,0.999387,0.999511,0.024752,0.022413,0.046404,0.060966,0.998427,0.996770,0.040675,0.057628,0.053624,0.146206,0.999663,Base
Doymuş Buhar,h sıvı (çıktı),LightGBM,0.969227,0.975264,0.175421,0.159468,0.149224,0.228119,0.902160,0.762251,0.320829,0.494394,0.503900,2.689260,0.980920,0.982617,0.138129,0.133684,0.114028,0.145660,0.911067,0.764010,0.305877,0.492562,0.473828,2.656432,0.982617,STGP-EF
Doymuş Buhar,h sıvı (çıktı),RF,0.999939,0.999713,0.007839,0.017173,0.019181,0.049624,0.999786,0.998983,0.015003,0.032332,0.021612,0.163487,0.999943,0.999765,0.007553,0.015558,0.015885,0.036845,0.999767,0.998916,0.015657,0.033381,0.026345,0.169351,0.999765,STGP-EF
Doymuş Buhar,h sıvı (çıktı),XGBoost,0.999996,0.998641,0.002104,0.037382,0.003620,0.112276,0.999997,0.994823,0.001867,0.072955,0.001779,0.478203,0.999997,0.998312,0.001828,0.041659,0.002925,0.114451,0.999998,0.993633,0.001272,0.080909,0.001314,0.483016,0.998641,Base
Doymuş Buhar,s buhar (çıktı),AdaBoost,0.958611,0.910828,0.203442,0.227631,0.590511,0.565916,0.992286,0.874618,0.161739,0.269920,0.342810,0.923251,0.988176,0.961641,0.108739,0.149297,0.510189,0.418743,0.997432,0.694209,0.093311,0.421531,0.205158,0.712479,0.961641,STGP-EF
Doymuş Buhar,s buhar (çıktı),CatBoost,0.999603,0.982854,0.019934,0.099816,0.108566,0.137079,0.999454,0.980325,0.043038,0.106925,0.071835,0.271337,0.999799,0.990486,0.014185,0.074351,0.054156,0.189827,0.999759,0.930704,0.028575,0.200664,0.034423,0.429912,0.990486,STGP-EF
Doymuş Buhar,s buhar (çıktı),DART,0.395367,0.469648,0.777582,0.555136,0.999332,0.789813,0.950948,0.733750,0.407848,0.393335,0.497474,1.074798,0.825788,0.876413,0.417387,0.267981,0.694793,0.642838,0.971714,0.870984,0.309713,0.273803,0.580637,0.719396,0.876413,STGP-EF
Doymuş Buhar,s buhar (çıktı),EF,1.000000,0.999474,0.000000,0.017478,0.000000,0.034817,1.000000,0.998204,0.000000,0.032303,0.000000,0.082397,1.000000,0.994732,0.000000,0.055327,0.000000,0.182487,1.000000,0.930123,0.000000,0.201504,0.000000,0.330212,0.999474,Base
Doymuş Buhar,s buhar (çıktı),ET,1.000000,0.999689,0.000000,0.013443,0.000000,0.032475,1.000000,0.998684,0.000000,0.027657,0.000000,0.073989,1.000000,0.989118,0.000000,0.079520,0.000000,0.251706,1.000000,0.828989,0.000000,0.315231,0.000000,0.290460,0.999689,Base
Doymuş Buhar,s buhar (çıktı),GBDT,0.999999,0.980757,0.001142,0.105744,0.004047,0.183201,0.999997,0.972051,0.002918,0.127439,0.003599,0.350404,0.999998,0.985665,0.001436,0.091267,0.008966,0.216883,0.999996,0.929252,0.003778,0.202757,0.004854,0.315428,0.985665,STGP-EF
Doymuş Buhar,s buhar (çıktı),GP,0.279053,0.307697,0.849086,0.634257,1.107699,0.724002,0.951191,0.512922,0.406840,0.532006,0.777612,1.221028,0.967604,0.919333,0.179989,0.216504,0.945933,0.767480,0.970511,0.606260,0.316229,0.478324,0.727134,1.112823,0.919333,STGP-EF
Doymuş Buhar,s buhar (çıktı),KNN,0.965864,0.988642,0.184759,0.081240,0.143369,0.103856,0.997899,0.936949,0.084402,0.191409,0.191046,0.281236,0.974929,0.981810,0.158338,0.102809,0.164873,0.215468,0.997176,0.899491,0.097868,0.241669,0.247007,0.640324,0.988642,Base
Doymuş Buhar,s buhar (çıktı),LightGBM,0.401066,0.477263,0.773908,0.551136,1.040849,0.781208,0.971302,0.804167,0.311961,0.337334,0.650806,1.163527,0.964836,0.836618,0.187519,0.308119,0.334604,0.567523,0.994767,0.882156,0.133217,0.261680,0.432359,0.691861,0.882156,SMOGN+STGP-EF
Doymuş Buhar,s buhar (çıktı),RF,0.997686,0.993926,0.048106,0.059408,0.044950,0.104414,0.999580,0.963999,0.037756,0.144635,0.036205,0.312550,0.997431,0.993455,0.050687,0.061672,0.085415,0.164201,0.999817,0.896466,0.024942,0.245278,0.039665,0.361542,0.993926,Base
Doymuş Buhar,s buhar (çıktı),XGBoost,0.999995,0.970797,0.002213,0.130265,0.004389,0.236942,0.999998,0.880906,0.002276,0.263064,0.003546,0.468123,0.999998,0.971468,0.001549,0.128760,0.003178,0.175041,0.999999,0.916389,0.001826,0.220419,0.002057,0.523056,0.971468,STGP-EF
Doymuş Buhar,s sıvı (çıktı),AdaBoost,0.999331,0.999136,0.025861,0.029805,0.087525,0.091261,0.997318,0.983549,0.062099,0.130086,0.095968,0.610206,0.999419,0.999050,0.024098,0.031265,0.058861,0.071840,0.998482,0.987113,0.046725,0.115136,0.079297,0.547681,0.999136,Base
Doymuş Buhar,s sıvı (çıktı),CatBoost,0.999778,0.999097,0.014885,0.030482,0.049220,0.115525,0.999690,0.996324,0.021112,0.061494,0.040443,0.155457,0.999781,0.999470,0.014787,0.023354,0.086055,0.062709,0.999728,0.997444,0.019788,0.051279,0.033034,0.153009,0.999470,STGP-EF
Doymuş Buhar,s sıvı (çıktı),DART,0.962860,0.965480,0.192717,0.188441,0.175882,0.254575,0.973671,0.950324,0.194571,0.226054,0.149099,1.350898,0.966675,0.969604,0.182552,0.176828,0.126155,0.234904,0.976558,0.954461,0.183594,0.216438,0.107599,1.318890,0.969604,STGP-EF
Doymuş Buhar,s sıvı (çıktı),EF,1.000000,0.999961,0.000000,0.006336,0.000000,0.013846,1.000000,0.999691,0.000000,0.017839,0.000000,0.082947,1.000000,0.999941,0.000000,0.007768,0.000000,0.024838,1.000000,0.998213,0.000000,0.042875,0.000000,0.221379,0.999961,Base
Doymuş Buhar,s sıvı (çıktı),ET,1.000000,0.999974,0.000000,0.005137,0.000000,0.007874,1.000000,0.999897,0.000000,0.010281,0.000000,0.018697,1.000000,0.999952,0.000000,0.007028,0.000000,0.008540,1.000000,0.999871,0.000000,0.011529,0.000000,0.023113,0.999974,Base
Doymuş Buhar,s sıvı (çıktı),GBDT,1.000000,0.999266,0.000674,0.027480,0.003533,0.100124,1.000000,0.993630,0.000659,0.080950,0.000912,0.291000,1.000000,0.999465,0.000683,0.023467,0.002715,0.087746,1.000000,0.995122,0.000659,0.070840,0.000912,0.273021,0.999465,STGP-EF
Doymuş Buhar,s sıvı (çıktı),GP,0.999612,0.999783,0.019699,0.014929,0.020761,0.019827,0.999619,0.999783,0.023408,0.014929,0.016817,0.019827,0.999612,0.999783,0.019699,0.014929,0.020761,0.019827,0.999619,0.999783,0.023408,0.014929,0.016817,0.019827,0.999783,Base
Doymuş Buhar,s sıvı (çıktı),KNN,0.999479,0.999581,0.022834,0.020766,0.050978,0.046702,0.998949,0.994261,0.038877,0.076834,0.107537,0.589992,0.999519,0.999492,0.021923,0.022851,0.061979,0.050527,0.998934,0.994237,0.039152,0.076996,0.107927,0.590303,0.999581,Base
Doymuş Buhar,s sıvı (çıktı),LightGBM,0.970328,0.973351,0.172256,0.165569,0.148639,0.259174,0.982103,0.956628,0.160419,0.211225,0.131805,1.367414,0.974246,0.977870,0.160482,0.150881,0.100540,0.224855,0.984760,0.965071,0.148029,0.189553,0.099744,1.245039,0.977870,STGP-EF
Doymuş Buhar,s sıvı (çıktı),RF,0.999943,0.999684,0.007535,0.018033,0.023219,0.045185,0.999881,0.994959,0.013083,0.072009,0.032309,0.352525,0.999948,0.999728,0.007205,0.016739,0.023807,0.038372,0.999883,0.995052,0.012989,0.071344,0.031918,0.349255,0.999728,STGP-EF
Doymuş Buhar,s sıvı (çıktı),XGBoost,0.999996,0.998612,0.002037,0.037780,0.003703,0.145353,0.999997,0.972543,0.001998,0.168059,0.002131,1.323295,0.999996,0.998641,0.002075,0.037387,0.002832,0.146640,0.999997,0.972543,0.001998,0.168059,0.002131,1.323295,0.998641,STGP-EF
Doymuş Buhar,v buhar (çıktı),AdaBoost,0.995861,0.987530,0.064335,0.115912,0.098460,0.202318,0.997793,0.991706,0.060912,0.094529,0.068351,0.291832,0.995192,0.988270,0.069338,0.112420,0.133959,0.322002,0.998051,0.992696,0.057250,0.088711,0.065043,0.188055,0.992696,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),CatBoost,0.999814,0.996575,0.013628,0.060748,0.037527,0.199310,0.999661,0.997205,0.023878,0.054876,0.023083,0.315282,0.999880,0.997473,0.010941,0.052178,0.023077,0.180464,0.999667,0.997671,0.023668,0.050092,0.042976,0.189462,0.997671,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),DART,0.807388,0.783409,0.438876,0.483068,0.279116,0.392614,0.965415,0.950184,0.241143,0.231672,0.201468,1.142797,0.878042,0.868241,0.349225,0.376773,0.241858,0.469257,0.966215,0.953330,0.238337,0.224237,0.123219,0.304636,0.953330,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),EF,1.000000,0.998715,0.000000,0.037204,0.000000,0.022458,1.000000,0.998778,0.000000,0.036277,0.000000,0.153707,1.000000,0.999045,0.000126,0.032083,0.000083,0.037625,1.000000,0.998547,0.000531,0.039568,0.000327,0.084593,0.999045,STGP-EF
Doymuş Buhar,v buhar (çıktı),ET,1.000000,0.999135,0.000000,0.030527,0.000000,0.020490,1.000000,0.998761,0.000000,0.036532,0.000000,0.014912,1.000000,0.999161,0.000000,0.030060,0.000000,0.030918,1.000000,0.998788,0.000000,0.036137,0.000000,0.045671,0.999161,STGP-EF
Doymuş Buhar,v buhar (çıktı),GBDT,1.000000,0.995935,0.000633,0.066178,0.001555,0.222004,1.000000,0.996661,0.000655,0.059975,0.001386,0.259422,1.000000,0.997549,0.000630,0.051392,0.001767,0.206620,1.000000,0.996833,0.000655,0.058415,0.001386,0.251753,0.997549,STGP-EF
