Veri Seti,Hedef,Algoritma,Base,SMOGN,STGP-EF,SMOGN+STGP-EF,Max_R2,Max_Senaryo
Kızgın Buhar,v (çıktı),GBDT,0.999399,0.998666,0.999393,0.998696,0.999399,Base
Kızgın Buhar,v (çıktı),GP,0.040517,0.320314,0.861160,0.712892,0.861160,STGP-EF
Kızgın Buhar,v (çıktı),KNN,0.790911,0.750846,0.997842,0.992356,0.997842,STGP-EF
Kızgın Buhar,v (çıktı),LightGBM,0.878133,0.996053,0.977953,0.995968,0.996053,SMOGN
Kızgın Buhar,v (çıktı),RF,0.999358,0.997813,0.999357,0.997857,0.999358,Base
Kızgın Buhar,v (çıktı),XGBoost,0.999012,0.998835,0.999009,0.998757,0.999012,Base

SENARYO BAZLI KARSILASTIRMA
Senaryo,Kazanma_Sayisi,Kazanma_Orani_%,Senaryo_Ort_R2,Kazananlar_Ort_Maks_R2
Base,36,32.73,0.953386,0.998139
SMOGN,4,3.64,0.950409,0.98556
STGP-EF,61,55.45,0.983594,0.981508
SMOGN+STGP-EF,9,8.18,0.958063,0.973797

ALGORITMA BAZLI KARSILASTIRMA
Algoritma,Ort_Base,Ort_SMOGN,Ort_STGP-EF,Ort_SMOGN+STGP-EF,Ort_Max_R2,En_Iyi_Senaryo,Kazanma_Base,Kazanma_SMOGN,Kazanma_STGP-EF,Kazanma_SMOGN+STGP-EF
AdaBoost,0.972501,0.951598,0.987885,0.947017,0.988969,STGP-EF,3,0,5,2
CatBoost,0.996743,0.994865,0.997849,0.990375,0.997883,STGP-EF,1,0,8,1
DART,0.881309,0.877373,0.944609,0.902331,0.958083,STGP-EF,0,1,7,2
EF,0.999549,0.99821,0.998694,0.99051,0.999588,Base,6,0,4,0
ET,0.999508,0.998279,0.99818,0.98039,0.999516,Base,7,0,3,0
GBDT,0.996076,0.992964,0.997261,0.98803,0.997261,STGP-EF,1,0,9,0
GP,0.788691,0.82571,0.951135,0.889293,0.952166,STGP-EF,2,1,7,0
KNN,0.973056,0.957246,0.993782,0.976117,0.99474,Base,6,0,3,1
LightGBM,0.888484,0.890008,0.958046,0.910057,0.970597,STGP-EF,0,1,6,3
RF,0.996946,0.990748,0.997692,0.984017,0.997776,STGP-EF,4,1,5,0
XGBoost,0.994383,0.977497,0.994401,0.980552,0.994558,Base,6,0,4,0
